Cl,E(B-V) mag,True Distance(m-M mag),ClName
1,0,11.1,NGC 129
2,0.09,10.85,NGC 188
3,0,12.3,NGC 457
4,0.45,10.55,NGC 559
5,0,12.1,NGC 581
6,0.03,7.9,NGC 752
7,0.09,8.6,NGC 1039
8,0.28,11.81,NGC 1245
9,0,9.4,NGC 1502
10,0,10.7,NGC 1907
11,0,10.6,NGC 1912
12,0.24,10.5,NGC 1960
13,0.31,10.5,NGC 2099
14,0.17,9.7,NGC 2168
15,0.1,9,NGC 2264
16,0.08,8.4,NGC 2422
17,0.4,10.4,NGC 2489
18,0.09,7.87,NGC 2516
19,0.1,9,NGC 2527
20,0.34,12.25,NGC 2533
21,0.17,9.95,NGC 2546
22,0.12,11.25,NGC 2567
23,0.32,11.55,NGC 2571
24,0,6,NGC 2632
25,0.06,9.6,NGC 2682
26,0.04,9.5,NGC 3680
27,0.27,10.81,NGC 5138
28,0,9.49,NGC 5460
29,0.53,10.3,NGC 5617
30,0.17,9.4,NGC 6025
31,0.43,12.5,NGC 6031
32,0.45,9.23,NGC 6134
33,0.18,10,NGC 6208
34,0.47,10.5,NGC 6613
35,0.17,7.5,NGC 6633
36,0.4,11.25,NGC 6705
37,0.13,8.9,NGC 6716
38,0.17,9.77,NGC 6811
39,0.28,11.76,NGC 6819
40,0.14,10.4,NGC 6866
41,0.53,10.7,NGC 6939
42,0.19,10.93,NGC 7039
43,0.48,11.26,NGC 7062
44,0.28,10.66,NGC 7082
45,0,7,NGC 7092
46,0,9.8,NGC 7209
47,0.24,9.4,NGC 7243
48,0,12.8,NGC 7380
49,0.79,9.6,NGC 7762
50,0.28,11.4,NGC 7788
51,0.52,12.4,NGC 7790
52,0.52,11.1,IC 1369
53,0,11.1,IC 1805
54,0,5.9,IC 2391
55,0,-0.5,IC 2581
56,0.04,5.44,IC 2602
57,0.15,9.5,IC 4651
58,0.17,7.2,IC 4665
59,0.08,5.6,alpha Pe
60,0.04,5.5,Pleiades
61,0,3.23,Hyades
62,0,4.5,Coma Ber
63,0.21,10.9,Collinde
64,0.54,11.1,Hogg 17
65,0.19,10.2,Lynga 2
66,0.51,11.5,Pismis 1
67,0,7.4,Stock 2
68,0.53,11.15,Trumpler
